country,city,GSV,espg,name,year,week,latitude,longitude,counts_week,spatial_lag,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,3_way_int_count,4_way_int_count,median_speed,dist_to_greenspace,dist_to_bikePOI,dist_to_edu,dist_to_train,bike_points,bus_stops,restaurants,daily_shops,business_shops,traffic_signals,cycle_length,ndvi_mean,ndvi_std,dem_mean,dem_std,lst_mean,lst_std,lc_entropy,pop_sum,build_area
Netherlands,Utrecht,y,32631,Koningsweg0van0Zeist0naar0Utrecht0Centrum0(10Ri.),2022,38,52.0772591,5.1332512,35808,3323126,36,73,4.055555556,7174.363,98.27894521,2.777777778,30,4518.145,43,105.0731395,1.026923126,24,5,30,32,36,48,59,21,1,0,0,1,6,1873.487207,0.455555094,0.184030313,5.45412844,2.089775551,15.24675338,0.82877339,0.883510204,511.960907,0.03192151
Netherlands,Utrecht,y,32631,Koningsweg0van0Utrecht0Centrum0naar0Zeist0(10Ri.),2022,38,52.0771332,5.1332908,92212,3266722,34,71,4.176470588,6778.123,95.46652113,2.764705882,28,4121.905,41,100.5342683,1.025745129,22,5,30,32,36,48,59,19,1,0,0,1,4,1741.288954,0.454913608,0.186997755,5.493087558,2.036803802,15.25052203,0.821841264,0.874271956,495.9694214,0.03103324
Netherlands,Utrecht,y,32631,Weg0tot0de0Wetenschap0van0Galgenwaard0naar0Utrecht0Science0Park0(20Ri.),2022,38,52.0841026,5.1613512,152406,3206528,22,46,4.181818182,9078.612,197.3611304,2.636363636,17,4539.306,23,197.3611304,1.073104624,15,2,50,74,90,79,90,2,2,0,0,0,10,1391.629228,0.482285722,0.208960701,3.971830986,1.913420586,14.64407277,0.453494175,0.954441529,364.1184082,0.00965315
Netherlands,Utrecht,y,32631,Archimedeslaan0van0Utrecht0Centrum0naar0Utrecht0Science0Park0(20Ri.),2022,38,52.0863991,5.1617041,191148,3167786,30,70,4.666666667,8956.888,127.9555429,2.766666667,25,4565.372,36,126.8158889,1.194679107,22,3,50,0,0,0,0,3,2,0,0,0,15,1095.646977,0.439225277,0.188644786,4.470319635,2.100833796,14.65137722,0.503448126,0.842992972,437.2663269,0.01709474
Netherlands,Utrecht,y,32631,Biltstraat0van0De0Bilt0naar0Utrecht0Centrum0(20Ri.),2022,38,52.0961761,5.142921,129476,3229458,37,54,2.918918919,7467.158,138.2807037,3.108108108,37,6705.747,46,145.7771087,1.066016337,29,6,50,48,36,29,32,4,2,0,0,0,7,1083.38788,0.468596247,0.173565366,4.082191781,2.523425001,14.82445955,1.169635237,0.739780618,504.9174805,0.02180903
Netherlands,Utrecht,y,32631,Biltse0Rading0van0A270naar0Blauwkapelse0weg0(20Ri.),2022,38,52.1044655,5.1575432,55534,3303400,11,13,2.363636364,3551.061,273.1585385,2.909090909,9,3551.061,13,273.1585385,1.005579914,6,3,80,85,83,63,0,0,0,0,0,0,10,655.4475627,0.569612539,0.065998987,-0.399061033,1.648843402,14.39784606,0.297201249,0.5139283,223.4318542,0.00027599
Netherlands,Utrecht,y,32631,Koningin0Wilhelminaweg0van0Gageldijk0naar0Groenedijk0(20Ri.),2022,38,52.121254,5.1419258,54122,3304812,25,36,2.88,9600.342,266.6761667,2.8,22,7821.273,30,260.7091,1.174180688,21,1,50,48,17,84,0,0,2,0,0,0,0,1078.482602,0.426955493,0.191798484,1.359090909,1.732879656,17.96374512,1.062765323,0.893979245,197.9049225,0.01591368
Netherlands,Utrecht,y,32631,N2370van0Kerklaan0naar0A270(20Ri.),2022,38,52.100647,5.1655712,161548,3197386,19,27,2.842105263,2319.306,85.90022222,2.736842105,16,1924.053,21,91.62157143,1.02159687,13,2,0,18,4,64,71,0,0,0,0,0,0,722.8212846,0.441747539,0.205363457,2.608294931,2.269518584,14.68166988,1.417844445,0.878393278,120.7228546,0.01405251
Netherlands,Utrecht,y,32631,Uppsalapad0van0Oude0Bunninkseweg0naar0A280(20Ri.),2022,38,52.0966301,5.1785922,70920,3288014,7,12,3.428571429,3017.656,251.4713333,3.285714286,5,1777.641,8,222.205125,1.030082403,1,3,0,92,92,75,86,0,0,0,0,0,0,572.910935,0.579784282,0.101073826,1.684931507,1.207397809,13.33368784,0.751395765,0.746842776,78.56216431,0.00151223
USA,"Norfolk,0Virginia",n,32618,10750W0Ocean0View0Avenue,2022,8,36.967176,-76.280858,31635,881142,20,42,4.2,4562.607,108.6335,2.95,16,2974.15,25,118.966,1.006664278,9,7,48.2802,0,84,44,114,0,0,0,0,0,0,996.8331756,0.225925381,0.244672318,1.060747664,1.702403853,18.58127601,1.419662638,0.842967029,364.3995361,0.02912917
USA,"Norfolk,0Virginia",n,32618,11030Llewellyn0Avenue,2022,8,36.860398,-76.290665,137,912640,68,153,4.5,12184.788,79.63913725,3,62,7435.969,86,86.46475581,1.033325573,52,9,24.1401,45,45,64,0,0,0,0,0,0,2,0,0.425399266,0.170520485,5.660550459,1.512760303,16.60817893,0.307503607,0.822017608,574.6947021,0.04073185
USA,"Norfolk,0Virginia",n,32618,11340Llewellyn0Avenue,2022,8,36.860939,-76.290191,110,912667,65,149,4.584615385,12269.366,82.34473826,3.046153846,60,7277.574,82,88.75090244,1.023083892,49,10,24.1401,82,82,90,0,0,0,0,0,0,2,0,0.439053483,0.174744823,5.602739726,1.484221974,16.66866215,0.297117284,0.819167861,549.416687,0.0406362
USA,"Norfolk,0Virginia",n,32618,14460Church0Street,2022,8,36.86063,-76.278098,54,912723,53,114,4.301886792,9589.431,84.11781579,3.20754717,47,6195.194,75,82.60258667,1.045962137,25,21,0,0,0,66,0,0,0,0,0,0,0,1007.068153,0.466207565,0.170323373,4.897196262,1.945205366,17.07266834,0.883816919,0.75480614,490.2196655,0.02683401
